datatime,DO_mg/L,NH4_mg/L,PH,TEMP_degC,Depth_mm,Velocity_m/s,Flow_l/s,Flow_mm,mm/hr
2019/9/23 0:00,9.82,0.28,7.83,9.48,350.81,0.15,186.79,0,0
2019/9/23 0:15,9.84,0.28,7.84,9.44,350.72,0.14,180.64,0,0
2019/9/23 0:30,9.84,0.29,7.85,9.4,350.49,0.15,186.77,0,0
2019/9/23 0:45,9.88,0.29,7.86,9.37,350.04,0.15,187.19,0,0
2019/9/23 1:00,9.89,0.29,7.86,9.35,349.62,0.14,175.31,0,0
2019/9/23 1:15,9.88,0.29,7.86,9.33,349.12,0.14,174.98,0,0
2019/9/23 1:30,9.89,0.29,7.87,9.31,348.54,0.14,176.26,0,0
2019/9/23 1:45,9.9,0.3,7.87,9.29,348.19,0.14,174.37,0,0
2019/9/23 2:00,9.93,0.3,7.88,9.28,347.98,0.14,174.44,0,0
2019/9/23 2:15,9.93,0.3,7.87,9.26,347.83,0.14,178.69,0,0
2019/9/23 2:30,9.91,0.3,7.87,9.25,347.81,0.14,178.89,0,0
2019/9/23 2:45,9.94,0.3,7.88,9.24,347.72,0.14,174.48,0,0
2019/9/23 3:00,9.92,0.3,7.88,9.24,347.52,0.14,173.93,0,0
2019/9/23 3:15,9.91,0.3,7.88,9.23,347.31,0.14,173.89,0,0
2019/9/23 3:30,9.91,0.3,7.88,9.22,347.13,0.15,181.94,0,0
2019/9/23 3:45,9.92,0.3,7.87,9.2,346.89,0.14,175.17,0,0
2019/9/23 4:00,9.95,0.3,7.88,9.19,346.52,0.14,176.57,0,0
2019/9/23 4:15,9.96,0.3,7.88,9.18,346.42,0.14,173.2,0,0
2019/9/23 4:30,9.98,0.3,7.88,9.17,346.22,0.14,173.07,0,0
2019/9/23 4:45,9.97,0.3,7.89,9.16,346.05,0.14,172.96,0,0
2019/9/23 5:00,10.01,0.3,7.89,9.15,345.86,0.14,172.83,0,0
2019/9/23 5:15,9.98,0.3,7.89,9.15,345.74,0.14,172.76,0,0
2019/9/23 5:30,10,0.3,7.89,9.14,345.59,0.14,174.1,0,0
2019/9/23 5:45,10.03,0.3,7.9,9.14,345.61,0.14,174.72,0,0
2019/9/23 6:00,10.04,0.29,7.9,9.14,345.59,0.14,172.66,0,0
2019/9/23 6:15,10.04,0.29,7.91,9.15,345.57,0.13,166.07,0,0
2019/9/23 6:30,10.05,0.29,7.92,9.14,345.51,0.14,174.05,0,3.6
2019/9/23 6:45,10.08,0.29,7.93,9.14,345.45,0.14,172.98,0.2,2.4
2019/9/23 7:00,10.09,0.29,7.93,9.14,345.51,0.14,170.96,0,0
2019/9/23 7:15,10.11,0.28,7.94,9.14,345.45,0.14,174.21,0,0
2019/9/23 7:30,10.15,0.28,7.95,9.14,345.5,0.14,172.39,0,0
2019/9/23 7:45,10.18,0.28,7.96,9.12,345.56,0.14,171.41,0,0
2019/9/23 8:00,10.19,0.28,7.97,9.12,345.62,0.14,172.67,0,0
2019/9/23 8:15,10.21,0.28,7.97,9.13,345.64,0.14,178.35,0,0
2019/9/23 8:30,10.27,0.28,7.98,9.14,345.77,0.14,176.89,0,0
